,comments,sentiments,clean_comments
28,"In war, opposite side always does whatever necessary to win. We know the story of Great War Mahabharat. Its important to do duty/Karma and fight for what your believe
Whatever political ideology you have, you cannot deny Chief Katawal stood-up and did his duty whole heartedly and with passion. Chief Rookmangud Katwal is in his 80s and struggling to maintain his health. Prayers for his good health and peaceful retired life. 

As long as Nepal is between India and China, And foreign actor with vested interested have agenda for Nepal, there will only be change in character, story will be same. There will always be power struggle and you will have your heroes and villian to choose from.

The Nepali comment you guys are going great job. Keep it up.",1,war opposite side always whatever necessary win know story great war mahabharat important dutykarma fight believe whatever political ideology cannot deny chief katawal stoodup duty whole heartedly passion chief rookmangud katwal 80 struggle maintain health prayer good health peaceful retire life long nepal india china foreign actor vest interested agenda nepal change character story always power struggle hero villian choose nepali comment guy go great job keep
29,"Your work is very qualitative, just loved it 
Kudos to you",1,work qualitative love kudos
30,Rookmantak katwal  sir i think we need more videos on his habbit and his idea man after this video respect to him ...and thanks to nepali comment for this perfect video ,1,rookmantak katwal sir think need videos habbit idea man video respect thanks nepali comment perfect video
31,Nepalese version of Johnny Harris. Really appreciate your work brother.,1,nepalese version johnny harris really appreciate work brother
32,"Dear so called podcasters, content creators and other youtubers learn how it's done. What a research and presentation of the content. Hats off!",1,dear call podcasters content creator youtubers learn do research presentation content hat
33,Seriously gold content ,1,seriously gold content
34,"Literally, amazed by your content finally we have got our johnny",1,literally amaze content finally get johnny
35,This is awesome man..Keep providing contents like these.,1,awesome mankeep provide content like
36,I think the Rukmangad Katuwal could also would have been the Dictator back then as he was also seems not the easy and collaborative guy to work with and was biased with Maoist government.,1,think rukmangad katuwal could also would dictator back also seem easy collaborative guy work bias maoist government
37,I have always been searching for analyst or channel talking and analyzing the facts in nepal !! Kudos to your work bro,0,always search analyst channel talk analyze fact nepal kudos work bro
38,Thanks for giving knowledge about history outside of books.,1,thanks give knowledge history outside book
39,"very well presented with depth study, keep up the good work.",1,well present depth study keep good work
40,We need more Rookmangud Katwal.,1,need rookmangud katwal
41,Appreciated your effort ,1,appreciated effort
42,Everything is well put together as always .. I love this channel,1,everything well put together always love channel
43,I have never missed since i found prasant tamang rise and fall ..more to goo Man  u nailed it ,1,never miss since find prasant tamang rise fall goo man u nail
44,"Wow expectations vanda high cha research, thank you for the effort ️🇳🇵",1,wow expectation vanda high cha research thank effort
45,Huge respect for Rookmangud Katwal and our first President Dr. Ram Baran Yadav. ️,1,huge respect rookmangud katwal first president dr ram baran yadav
46,"Keep it up Brother.
You doing a marvelous job..Godspeed!",1,keep brother marvelous jobgodspeed
47,The most trusted channel with huge potentiality ,1,trust channel huge potentiality
48,appreciate your hard work brother,1,appreciate hard work brother
49,In my opinion your channel can be trusted. Hope you continue  for more interesting videos like this.,1,opinion channel trust hope continue interest video like
50,thank you for educating us and this free knowledge!,1,thank educate u free knowledge
51,"Please ,can you give more information  about history of Nepal of different fields like industry ,political ,cricket 🇳🇵",1,please give information history nepal different field like industry political cricket
52,Such an informative video.. a long way to go !!,1,informative video long way go
53,Such a thriller! Loved it,1,thriller love
54,this channel deserves a huge applaud,1,channel deserve huge applaud
55,explained in realest way possible..... good piece of information loved it,1,explain real way possible good piece information love
56,"I know this episode is gonna be interesting like all the videos you make.
Very much thanks for your information",1,know episode gonna interest like video make much thanks information
57,We wanna know more history from you this guy is so good,1,wanna know history guy good
58,Huge respect bro,1,huge respect bro
59,Great reasearch and thanks giving the information that most of the people never thought about it,1,great reasearch thanks give information people never think
60,Im very glad for watching your video and ur research. Hats off bro and keep it up.,1,im glad watch video ur research hat bro keep
61,"Very informative 
Keep going brother ️",1,informative keep go brother
62,Loved your content ️,1,love content
63,I see progressive content in ur channel. 6 months back I subscribed. Good job,1,see progressive content ur channel 6 month back subscribe good job
64,"You deserve million subscriber.
Thanks for quality content.",1,deserve million subscriber thanks quality content
65,"Had watched all of his videos and are really  amazing....keep going 
we want more in future..",1,watch video really amazingkeep go want future
67,I can understand the hard work behind this video!!,1,understand hard work behind video
68,"Can you please explain and make video on how a group of maoists which was in less than 40,000 in number was able to defeat Nepal army of around 100,000 and changed entire Nepal's face?",1,please explain make video group maoists less 40000 number able defeat nepal army around 100000 change entire nepal face
69,Every content in this channel is great ,1,every content channel great
70,Thankyou for your intresting contents. It really is well researched and well put.,1,thankyou intresting content really well research well put
71,Exactly the video I was waiting for. Thanks Nepali Comment.,1,exactly video wait thanks nepali comment
72,"The topic that I want to know deeply from long time.
Absolutely insightful.",1,topic want know deeply long time absolutely insightful
73,Nice you really make things so easier to understand. Now i want you to create a video about our former chief justice Susila Karki impeachment case. I am sure that the CJ impeachment case is also as interesting as this one ,1,nice really make thing easy understand want create video former chief justice susila karki impeachment case sure cj impeachment case also interest one
74,I've been watching all of videos from the beginning. Such insightful. it's goin' to grow very large one day.,1,ive watch videos begin insightful goin grow large one day
75,Very informative and demonstrative presentation! Tq !,1,informative demonstrative presentation tq
76,Hye! Can you do a video on how the Nepal army were able to occupy Tudikhel and how it can be free again?,1,hye video nepal army able occupy tudikhel free
77,Really appreciated for your content,1,really appreciate content
78,Great video bro appreciate your hard work,1,great video bro appreciate hard work
79,Ur content is just ️,1,ur content
80,"Trustee channel I ever got in our country 
Keep going Mahn ️",1,trustee channel ever get country keep go mahn
81,Thank you the Nepali comments. I appreciate you work.,1,thank nepali comment appreciate work
82,"Great effort 

 Trusted youtuber of Nepal",1,great effort trust youtuber nepal
83,This channel is going to be the RONB of YouTube or even better.,1,channel go ronb youtube even well
84,You make the best video being Nepali  .Keep it up... I watch your every video.,1,make best video nepali keep watch every video
85,Lots of love  no words to describe your effort ️️,1,lot love word describe effort
86,this channel deserves 10 million subscribers ,1,channel deserve 10 million subscriber
87,Big appreciation from one of your regular viewer keep going,1,big appreciation one regular viewer keep go
88,The video was amazing. Bro can you please do a video on Nepalese passport. How Nepalese passport became so weak?,0,video amaze bro please video nepalese passport nepalese passport become weak
89,This channel is so underrated. This channel should have more subscriber than  nepali so-called comidian channels,1,channel underrated channel subscriber nepali socalled comidian channel
90,Don’t know what to comment so I am just leaving this comment to appreciate your work. Keep going bro.,1,don t know comment leave comment appreciate work keep go bro
91,great document. Great effort,1,great document great effort
92,"Swagat gyawali
Radom nepali
And this guy
Are AWESOME
The content are next level with proper information that all nepali should know",1,swagat gyawali radom nepali guy awesome content next level proper information nepali know
93,One of the best informative YouTube channel on recent times,1,one best informative youtube channel recent time
94,Appreciation brother ️,1,appreciation brother
95,Content and history ,1,content history
96,Bro Can you plz make a video related to akhanda sudurpaschim and tikapur incident plz??? Because its making so much confusion to people whether Resham chaudary is innocent  or not. Hope you will reply me,1,bro plz make video relate akhanda sudurpaschim tikapur incident plz make much confusion people whether resham chaudary innocent hope reply
97,"Keep them coming,keep growing!
 The Nepali comment to the top ",1,keep comingkeep grow nepali comment top
98,"Very interesting topics
Please make video on upcoming future of Nepal !",1,interest topic please make video upcoming future nepal
99,"With Prime Minister, Defence Ministry and then Army Chief from Maoist favourite, Country definitely would had been easy for the Maoist Rule. So whatever happened it was good decision made probably!  Who knows what motive PRACHANDE had!",1,prime minister defence ministry army chief maoist favourite country definitely would easy maoist rule whatever happen good decision make probably know motive prachande
100,NEED more content like this,1,need content like
101,Is Nepal really going to FATF 's grey list....plz do make a video soon on it...,1,nepal really go fatf grey listplz make video soon
102,One of the best channel of nepal️,1,one best channel nepal
103,Amazing content...keep going.,1,amaze contentkeep go
104,Content with fact ️,1,content fact
105,This is truely gem. Already my favourite channel,1,truely gem already favourite channel
106,Amazing analysis bro thank you,1,amaze analysis bro thank
107,️️ wow what a content bro ,1,wow content bro
108,Gem among my subscriptions ️️️,1,gem among subscription
109,great video with depth research and contents.,1,great video depth research content
110,Bhai ur effort work is worth praising,1,bhai ur effort work worth praise
111,Best nepali YouTube channel..keep growing️️️,1,best nepali youtube channelkeep grow
112,Keep going   we are always support you ,1,keep go always support
113,Content writer + presentr combo,0,content writer presentr combo
114,Always remain trustworthy !! #admirer,1,always remain trustworthy admirer
115,"Great content bro.
I guessed it right previously when you post in the community.",1,great content bro guess right previously post community
116,His Voice and details explained is Awesome,1,voice detail explain awesome
117,"Good analysis,u r doing good till now my best wishes",1,good analysisu r good till best wish
118,Great content ever!!!!,1,great content ever
119,Keep going bro️,1,keep go bro
120,The main problem for lack of development in Nepal is the political instability ..And even Prachanda was not so bad that time like now....yedi dictator naai vako vaye baru agadi badhinthyo...just my opinion,0,main problem lack development nepal political instability even prachanda bad time like nowyedi dictator naai vako vaye baru agadi badhinthyojust opinion
121,"Meanwhile:
Prachanda and Renu at his home 
Any how protect this man.️",0,meanwhile prachanda renu home protect man
122,Content is appreciable.,1,content appreciable
123,"Wow sir what a video 
Best journalist ever",1,wow sir video best journalist ever
124,Please make video on ;what if late king birendra was still alive ? ️,0,please make video late king birendra still alive
125,"You are doing such a great work brother. 
I want to suggest some contents that i'm desperately waiting from you ?

Resham Chaudhary Kanda , Fall of Dr. Baburam Bhattarai , Dark reality of Beauty Contests & it's Business Model",1,great work brother want suggest content im desperately wait resham chaudhary kanda fall dr baburam bhattarai dark reality beauty contest business model
126,"bro you are doing great 
Keep going
lots of love",1,bro great keep go lot love
127,Thank you so much ️,1,thank much
128,You are doing good dai keep uploading.,1,good dai keep uploading
129,"Damn, that was intense.",1,damn intense
130,always useful information ,1,always useful information
131,"Tapaiko one of the best work, dai.",0,tapaiko one best work dai
132,you nailed it bro...,1,nail bro
133,"In my opinion, if Parchanda did what he want then Nepal would have be like China rule or Dictator rule. And Parchanda la weapon pickup ni garteya na hola because, he accomplished what he want and he became a top tire politician and the people who have been supporting Parchanda in civil war most of them won't support and they don't want to kill each other again. And I think that's the reason Parchanda didn't pickup weapon again. Army chief was also ready to take the worst scenario to fight back.",1,opinion parchanda want nepal would like china rule dictator rule parchanda la weapon pickup ni garteya na hola accomplished want become top tire politician people support parchanda civil war wont support dont want kill think thats reason parchanda didnt pickup weapon army chief also ready take bad scenario fight back
134,WE NEED OUR GREATER NEPAL 🇳🇵🇳🇵🇳🇵,1,need great nepal
135,Great content...,1,great content
136,I still remember this day when Prachanda tried to fire the Army Chief. Our High School had to close in the middle of the day when this incident happened..........,1,still remember day prachanda tried fire army chief high school close middle day incident happen
137,Huge appreciation,1,huge appreciation
138,"Army should always be under the government's control, it shouldn't have autonomy.",1,army always government control shouldnt autonomy
139,"I guess Army and king, both were on the side of Maoists because some of the witness have said that Army were loosing the battles, knowingly. APF were seen fighting and winning easily with Maoists and they were under the PM.",1,guess army king side maoist witness say army loosing battle knowingly apf see fight win easily maoist pm
