,comments,sentiments,clean_comments
22,"I really admire your hard work and sincere effort. Its good to know the fact, it really make us sad. Once, Ganesh Thapa made money by corruption could have okay , if he would have improved the quality of football in Nepal. Paisa banau but kaam pani ta gara kukur ho.",1,really admire hard work sincere effort good know fact really make u sad ganesh thapa make money corruption could okay would improve quality football nepal paisa banau kaam pani ta gara kukur ho
23,Always excited to watch your content. Great research keep it up ,1,always excite watch content great research keep
24,Thank you for exposing the dark reality of nepali football corruption.,1,thank expose dark reality nepali football corruption
25,"good to see Gnesh Thapa in Paljor Stadium, Gangtok when he played in Governors` Gold Cup , Early eighties",1,good see gnesh thapa paljor stadium gangtok play governor gold cup early eighty
26,Quality content as always ,1,quality content always
27,Insane research bro.. You have been improving every next video. Keep it up. And thanks for information.,1,insane research bro improve every next video keep thanks information
28,Quality content brother! A1 investigative report of yours!!,1,quality content brother a1 investigative report
29,"Your research is on next level, it gives great insights.",1,research next level give great insight
30,He deserve 100k congrats brother,1,deserve 100k congrats brother
31,"Thanks you bro for all the information. Seeing Nepal in World Cup is a dream that can't be true. But, hope for the best.",1,thanks bro information see nepal world cup dream cant true hope best
32,Our  politicians have no love for our country  and yet people vote for same old parties and here we are common Neplese expressing our frustration यो भएन त्यो भएन blah blah. WE NEPLESE DESERVE TO BE IN LAST RANKING OF FIFA.,1,politician love country yet people vote old party common neplese express frustration blah blah neplese deserve last ranking fifa
33,"Great content and well
Presented.
Bravo  ",1,great content well present bravo
34,"Corruption  distroy country not only football
It's happen again and again in Nepal",0,corruption distroy country football happen nepal
35,Your contents are amazing. Love the way you how you elaborate your topic. Thumbs up bro!,1,content amaze love way elaborate topic thumb bro
36,"Love and Respect to Your Videos️
Keep Shinning️",1,love respect videos keep shinning
37,"I appreciate your hard work and courage to make video on such topic

Can you please make about cricket too.. Mulpani ground, tanka anbuhang.. Player dispute etc.",1,appreciate hard work courage make video topic please make cricket mulpani ground tanka anbuhang player dispute etc
38,"when Dipesh dai said ""We went down a rabbit hole for the new topic"" He meant it. Amazing Research . Also 'm expecting eSports Content future ma from TNC hai",1,dipesh dai say go rabbit hole new topic mean amazing research also expect esports content future tnc hai
39,As you said ganesh thapa was not found guilty by akthiyar but we all know he ruined the football game just building some structures under anfa but never was after development and uplifting the players. He ruled anfa almost for 2 decade just for his benefits. May be he was not found guilty because the corruption was made almost on international transactions and most important thing was the political support to cover his activities. I don't think nepal will be corruption free country never ever though we all hope for it. I appreciate for the content you make for revealing such faces. Keep going. Huge love and support for you bro.,1,say ganesh thapa find guilty akthiyar know ruin football game building structure anfa never development uplift player rule anfa almost 2 decade benefit may find guilty corruption make almost international transaction important thing political support cover activity dont think nepal corruption free country never ever though hope appreciate content make revealing face keep go huge love support bro
40,"Ekdam mehenet ,dedicated and well researched ..
Thanks brother for being here",1,ekdam mehenet dedicate well researched thanks brother
41,Your research skill is legendary ,1,research skill legendary
42,"Can you make a video on Resham Chaudary, a criminal turned politician and the person behind tikapur incident, his political party which is huge in kailali and about his popularity in that region.",1,make video resham chaudary criminal turn politician person behind tikapur incident political party huge kailali popularity region
43,"Very well uncovered, thank you.",1,well uncovered thank
44,"More power to you bro
You are doing good ",1,power bro good
45,"People should be thankful the fact that they are able to watch world cup through the sacrifice of blood, sweat and even lives of thousand of our brothers and sisters. 
In previous event just a single death was a huge talk but this time its so strange. How the world works it suprises me alot. How money power and influence can change one of the biggest institutions' goal and vision which is to unite people and spread peace.",1,people thankful fact able watch world cup sacrifice blood sweat even live thousand brother sister previous event single death huge talk time strange world work suprises alot money power influence change one big institution goal vision unite people spread peace
46,"Nice research and findings bro, keep up the good work.",1,nice research finding bro keep good work
47,Hats off for your research bro ,1,hat research bro
48,Brooo ....I really appreciate your research...and hope that you will bring out more contents like this in the future.,1,brooo really appreciate researchand hope bring content like future
49,Wow this much things had happened in nepali football which we did not know. Tqs bro for ur video,1,wow much thing happen nepali football know tqs bro ur video
50,Hat's off for your hard work. Thanks for the information. Keep it up ️️,1,hat hard work thanks information keep
51,Real content  Keep up the good work bro️,1,real content keep good work bro
52,Love your content every time. Hamro Nepal dherei aghi badhne thiyo hola yedi corruption harek sector ma nabhaidieko bhaye.Ma pani bidesh ma jana parthyena hola afno pariwar lai support garnalai.Runa man lagxa desh ko yesto halat garisake Kei asaa auxa tyo ni bujhaidinxa paisama bikeka deshka tauke haruko harkatle,1,love content every time hamro nepal dherei aghi badhne thiyo hola yedi corruption harek sector nabhaidieko bhayema pani bidesh jana parthyena hola afno pariwar lai support garnalairuna man lagxa desh ko yesto halat garisake kei asaa auxa tyo ni bujhaidinxa paisama bikeka deshka tauke haruko harkatle
53,Your research is deep brother! keep it up!️,1,research deep brother keep up
54,We need to stop corruption 🇳🇵.,0,need stop corruption
55,well researched and your explantion is so satisfying <3,1,well research explantion satisfy 3
56,Wow such a core knowledge and truth that should be known by every people. Thanks to THE NEPALI COMMENT for such a wonderful contents....,1,wow core knowledge truth know every people thanks nepali comment wonderful content
57,"I feel proud instead of Ganesh Thapa, Before this video , I didn't quite known him Tara heer bhaai haaru Nepali bhayera yo thau samma pugnu naai thulo kura ho, Sidhha baato ta koi kai ni pugdaina. He was ambtious and even v.p of AFC being a Nepali . Respect Ganesh Thapa.",1,feel proud instead ganesh thapa video didnt quite know tara heer bhaai haaru nepali bhayera yo thau samma pugnu naai thulo kura ho sidhha baato ta koi kai ni pugdaina ambtious even vp afc nepali respect ganesh thapa
58,Appreciate your hard work ,1,appreciate hard work
59,Proud of you dada️,1,proud dada
60,I never miss your single video. Keep up your good work Dipesh ji ️,1,never miss single video keep good work dipesh ji
61,I have no words for your content️️,1,word content
62,I need to know about dark sides of osho could you please research about it ? Cause lots of rumors i heard and watch in social media .please make us clear about this ,1,need know dark side osho could please research cause lot rumor hear watch social medium please make u clear
63,Love your Content ️ And Research ,1,love content research
64,God bless you hope  this info reaches to all Nepalese,1,god bless hope info reach nepalese
65,Thank you for creating this. <3 <3,1,thank create 3 3
66,Man you’re so good investigator ,1,man you re good investigator
67,pray for nepal football,1,pray nepal football
68,I don’t know why I love Ganesh Thapa. He used to love Nepali football so much. I saw him crying when Nepali player injured. Corruption may be but if there was no Ganesh thapa Nepal wouldn’t get those amounts for football. He would be the FIFA president if everything was going smoothly!,1,don t know love ganesh thapa use love nepali football much saw cry nepali player injure corruption may ganesh thapa nepal wouldn t get amount football would fifa president everything go smoothly
69,Hats off! such an awesome video. Is it possible to create a Patreon account or Youtube Tips so we could give back for creating such a well researched video.,1,hat awesome video possible create patreon account youtube tip could give back create well research video
70,I really appricate to you. We need this type of contain.,1,really appricate need type contain
71,"Bro! we need more & more people like you ️
love you yrr ️️️",1,bro need people like love yrr
72,Thanks you so much bro ️ Keep going ,1,thanks much bro keep go
73,️Always love your content brother,1,always love content brother
74,Love your videos brother,1,love video brother
75,One love for your work ,1,one love work
76,Why are you so intresting. I never want to miss your videos nodays️lots of love ,1,intresting never want miss video nodays lot love
77,would love to see a well researched video on begging mafia of nepal...,1,would love see well research video beg mafia nepal
78,Good Luck for the next video! It is great as usual!,1,good luck next video great usual
79,You should make one video on Lokman singh Karki.,1,make one video lokman singh karki
80,"you and your content
just wowww️️",1,content wowww
81,You are amazing sir. Thank you for all information ,1,amaze sir thank information
82,Something same happen with sukdev karki dai.  Plz make video on that corruption  event.,0,something happen sukdev karki dai plz make video corruption event
83,Keep up the contents! ️,1,keep content
85,Great effort!!,1,great effort
86,I'm addicted to your video... it's amazing,1,im addict video amazing
87,Hats off bro ️,1,hat bro
88,"I respect your research capability really. Do you watch Patriot Act (by Hasan Minhaj)? It's a investigative comedy show, comedy is a very attractive to people. I mean who wouldn't love to laugh while being informed? So, if you include some comedy while giving people information, I think your outreach would increase by a lot in long term, may be try to collab with some comedians. I would always watch you but let's see if you can push it to a wider audience. Good luck my brother",1,respect research capability really watch patriot act hasan minhaj investigative comedy show comedy attractive people mean wouldnt love laugh inform include comedy give people information think outreach would increase lot long term may try collab comedian would always watch let see push wide audience good luck brother
89,Nice video very informative ️,1,nice video informative
90,This needs to be made more visible guys.,1,need make visible guy
91,"You are one of best YouTubers of nepal, thanks for  spreading awareness, you deserve millions subscribers, and one day you will get it,",1,one best youtubers nepal thanks spread awareness deserve million subscriber one day get
92,Qualitative and strong content,1,qualitative strong content
93,Top notch analysis topnotch presentation hats off for the time and hardwork,1,top notch analysis topnotch presentation hat time hardwork
94,Corruption and bribery has eaten our Country! Yo choti nii tahai anuhar samsaad ma hrnaa prxaa... But next time please vote for right candidate go for swantratra party! lets give them chance,0,corruption bribery eaten country yo choti nii tahai anuhar samsaad hrnaa prxaa next time please vote right candidate go swantratra party let give chance
95,Hats off to your work,1,hat work
96,Hats off to your hard work.,1,hat hard work
97,Bro what a research yr. ️,1,bro research yr
98,Again with mind-blowing content ️,1,mindblowing content
99,This chanel is needed. Share it as much as possible.,1,chanel need share much possible
100,Another master content !!,1,another master content
101,Courageous and Hats Off to your content. ,1,courageous hat content
103,Your research is on deep web level,1,research deep web level
104,i recommend the video about corruption related with qatar world cup is well described by the deshbhakt channel ...,1,recommend video corruption relate qatar world cup well describe deshbhakt channel
105,"Such a superb video , keep it up brother",1,superb video keep brother
106,"Keep up the good work! You are making amazing informative videos. जानकारीको लागि, ""Reuters"" लाई ""रोयटर्स"" भनेर उच्चाहरण गरिन्छ है। ️️",1,keep good work make amazing informative video reuters
107,Next video-why CAN is suspended by ICC?,1,next videowhy suspend icc
108,his research is soo detailed,1,research soo detail
109,Love your content  bro,1,love content bro
110,"I have no words...
You have done well...
you are presenting facts...without taking sides
You are great..",1,word do well present factswithout take side great
111,Congratulations  Dada for 100k million subscribers ,1,congratulation dada 100k million subscriber
112,Thanks for the clip brother.,1,thanks clip brother
113,ganesh thapa now is the commedian of South movie famously known as Raghu Babu,1,ganesh thapa commedian south movie famously know raghu babu
114,"I just found first nepali with lots of research, hatsoff",1,find first nepali lot research hatsoff
115,just wow yrr content and investigates ,1,wow yrr content investigates
116,"please do gagan thapa's bakhra kanda , id like to know about it more , and in depth and details . that video will give you more exposure  , given your excellent level of research and presentation! Do it even if it a false accusation , clarify it , that video will do wonders for you....",0,please gagan thapas bakhra kanda id like know depth detail video give exposure give excellent level research presentation even false accusation clarify video wonder
117,may be ganesh thapa has some role in matching fixing kanda ...,1,may ganesh thapa role match fix kanda
118,Rip ganesh thapa,1,rip ganesh thapa
119,All Corrupt people are bestfriends of each others.  ,1,corrupt people bestfriends others
120,Content bhaniko yasto po hunu paryo ta true evidence hats off you dibesh dai,1,content bhaniko yasto po hunu paryo ta true evidence hat dibesh dai
121,Bro please make vedio on how ANFA and a division clubs are destroying Nepali football.. how are they forcing players to leave country. And please expose A division club.,1,bro please make vedio anfa division club destroy nepali football forcing player leave country please expose division club
122,His reigning years are black era for nepali football,0,reign year black era nepali football
123,Congratulations in advance for 100K,1,congratulation advance 100k
124,Great research. Laj pacheko Ganesh thapa. Sport ko name ma dhava.,1,great research laj pacheko ganesh thapa sport ko name dhava
125,Thanks for the quality content,1,thanks quality content
126,Anfa complex was build through gol project by fifa. I think.,1,anfa complex build gol project fifa think
127,Not just football now its down to cricket as well.,1,football cricket well
128,"Our national team has a player who gets elected just because of phone calls hands down. 
Yesto vaye paxi geda jitxa. Na training garxa direct game hanna gayaa xa.",1,national team player get elect phone call hand yesto vaye paxi geda jitxa na train garxa direct game hanna gayaa xa
129,Congratulations for 100k by the start of next video,1,congratulation 100k start next video
130,I wish I could work for you man.,1,wish could work man
131,"Anfa totally destroy Nepal football. We must be attention our a division corrupted club . They didn't need audience, investment and ruling like mafia of Nepal football. They force to stop nsl and Even almutairia coach also didn't allowed to watch Nepal league. A division club Haru na aafu agi badxa na ta Nepal football lai agi badauxa",0,anfa totally destroy nepal football must attention division corrupt club didnt need audience investment ruling like mafia nepal football force stop nsl even almutairia coach also didnt allow watch nepal league division club haru na aafu agi badxa na ta nepal football lai agi badauxa
132,I am paying my internet bill for this !,1,pay internet bill
133,Yestai content haru ko  kami  xa dai and uh know what do here  soo just love ur video daahope ajhai ni dherai ramro garanu huney xa aasha xa dai hope less na garanu hola,1,yestai content haru ko kami xa dai uh know soo love ur video daahope ajhai ni dherai ramro garanu huney xa aasha xa dai hope less na garanu hola
134,Make it 100k .. Support guys !!,1,make 100k support guy
135,If those 4 Hundred thousands dollar would have been used in proper way in infrastructure Nepal would be able to be  compete with India easily,0,4 hundred thousand dollar would use proper way infrastructure nepal would able compete india easily
136,I myself and my friend we apply for nfa ....we we're select but.... after just 2 game we we're out ..they replaced by another boys by nfa employee relatives... We were screwed..by nfa....,1,friend apply nfa select 2 game replace another boy nfa employee relative screwedby nfa
137,imagine if Nepal goes for worldcup,1,imagine nepal go worldcup
138,"wow, that's why our country is the most corrupt nation. top to bottom from Pm to the clerk.",1,wow thats country corrupt nation top bottom pm clerk
139,The nepali comment is on fire️,1,nepali comment fire
140,Thank you ,1,thank
141,Quality Content !,1,quality content
142,appreciate your efforts ️️,1,appreciate effort
143,Content yar omg next level.,1,content yar omg next level
144,make vedio on supreme court's judge bam muder case Nepal,1,make vedio supreme court judge bam muder case nepal
145,Keep up the good work bro,1,keep good work bro
146,"Put a donation link, if you can.",1,put donation link
147,Great job,1,great job
148,"You can do a whole video series called ""How Corruption KILLED Nepali __________"". Applies to pretty much anything and everything.",1,whole video series call corruption kill nepali applies pretty much anything everything
149,Not just corruption. Players are unskilled too.,0,corruption player unskilled
150,was waiting for so long for your video,1,wait long video
151,"bro i am listining you from the very begining ani i like your contents, tara malae euta kura ma ali badi janna man lagi ra xa tyo nepal ma chinese company haru ley petroleum utkhana gari ra xa bhandae xa k xa tesko detail vidreo banaunau  na halka research garera kina kina malae tyo ni scam jastae lagdae xA Sasto popularity ko lagi by our pollitician.matlab tyo mining garda lagney poisa ta tya bata niskeko tel ley uthauna sakxA ?ani sachekoi nepal ma teti thuloi oli field theo bhaney indian oil gaints company haru kina ayenNA Poila nai,malae ali fishy lagi ra xa yo kura haru so please do a detail video about topic the total cost of tht oil field extraction  up streaming down streaming costs ani tyo oil field bata prapta huney oil.kina kina malae yo neta bhanauda haru ko poisa khaney chal ra geo politic ko honour war between indai and china to eastlibish influencwe in nepal jasto lagxa",1,bro listining begin ani like content tara malae euta kura ali badi janna man lagi ra xa tyo nepal chinese company haru ley petroleum utkhana gari ra xa bhandae xa k xa tesko detail vidreo banaunau na halka research garera kina kina malae tyo ni scam jastae lagdae xa sasto popularity ko lagi polliticianmatlab tyo mining garda lagney poisa ta tya bata niskeko tel ley uthauna sakxa ani sachekoi nepal teti thuloi oli field theo bhaney indian oil gaints company haru kina ayenna poila naimalae ali fishy lagi ra xa yo kura haru please detail video topic total cost tht oil field extraction stream stream cost ani tyo oil field bata prapta huney oilkina kina malae yo neta bhanauda haru ko poisa khaney chal ra geo politic ko honour war indai china eastlibish influencwe nepal jasto lagxa
152,Content️,1,content
154,Ali dherai halna paryo video dherai time lagauna vaena timro content sarai mann parcha,1,ali dherai halna paryo video dherai time lagauna vaena timro content sarai mann parcha
155,Keep going ,1,keep go
156,So what i am understanding form this is thaat anfa runs without gov help ,1,understand form thaat anfa run without gov help
157,Make vedio on driving licence corruption by nepal yatayat,1,make vedio drive licence corruption nepal yatayat
158,love ️,1,love
159,Bro lai kai gardela ki vanne dar matra xa aabha tw maile nepal ko problem haru yo channel ma vanda derai knowledge aaru kunai ma pako xaina short ra yakdam impact khalko,1,bro lai kai gardela ki vanne dar matra xa aabha tw maile nepal ko problem haru yo channel vanda derai knowledge aaru kunai pako xaina short ra yakdam impact khalko
160,Wow thumbnail,1,wow thumbnail
161,Ganesh thapa le garda 2013 dekhi A division league vako thiena,1,ganesh thapa le garda 2013 dekhi division league vako thiena
162,Contain dami xa brother keep it,1,contain dami xa brother keep
163,Broo make video on unity life scam of Nepal,1,broo make video unity life scam nepal
164,"मुजिहरू Powerful कुर्सीमा पुग्छन। तर सबै आफ्नो मतलबकाे लागि, जाती पैसा @FIFA ले देको थियो। त्यती पैसा राष्ट्रिय फुटबल क्लबमा लगानी देखिँदैन यो त हाम्रो आँखाले साफ देखेको छौँ । यस्तै हो भने नेपाल Corruption ले एक दिन डुब्छ ",1,powerful fifa corruption
165,Nepali football is not dead but in ICU,1,nepali football dead icu
166,100K soon ,1,100k soon
167,wish you 1 million subscriber,1,wish 1 million subscriber
169,"Cricket KO Pani grnu na 
CAN KO BAN 
Ahiley Nepal T20 league KO controversy haru ma...",1,cricket ko pani grnu na ko ban ahiley nepal t20 league ko controversy haru
170,Now about A division league  club their  owner and  earnings ️,1,division league club owner earnings
171,Geretar nepal ko barema ni video banaunu na sir plz🇳🇵🇳🇵🇳🇵,1,geretar nepal ko barema ni video banaunu na sir plz
172,"Corruption is the cancer of Nepal. 
Fearless journalism is the chemotherapy.",0,corruption cancer nepal fearless journalism chemotherapy
173,We want video on Can?,1,want video
175,Sadhai corruption le bigrine bayo nepal ma,0,sadhai corruption le bigrine bayo nepal
176,Worldcup ma player lai dekhnu ta ka ho ka Nepal ko flag pani dekhna pahidaina,1,worldcup player lai dekhnu ta ka ho ka nepal ko flag pani dekhna pahidaina
177,Congratulations for 100k bro..,1,congratulation 100k bro
178,FIFA is a pure business. No more football.,1,fifa pure business football
179,We were doing good until money started pouring...damn the irony,1,good money start pouringdamn irony
180,Any idea kailey yo certain items ko import ban uplift hunxa?,1,idea kailey yo certain item ko import ban uplift hunxa
181,Brave guy,1,brave guy
183,Nepal football ko Future,1,nepal football ko future
184,Not only Nepali football but corruption also killing all Nepal and neplese people hope in every sector.... From top to bottom all are corrupted....,1,nepali football corruption also kill nepal neplese people hope every sector top bottom corrupt
185,Aaaile samma newsfeed ma aauda ignore garda regret vairaxa... New follower️,1,aaaile samma newsfeed aauda ignore garda regret vairaxa new follower
186,Corruption lay dubayo yo desh li sabai thau ma corruption xha harni vanay Nepal ma talent ko kami xhaina music artists katti ramra ramra xhan dancers kati ramra xhan sports ma kati Khiladi xhan eSports  ma uti ramra xhan tra k garnu  sochda ne sarai dukha lagxha  ,0,corruption lay dubayo yo desh li sabai thau corruption xha harni vanay nepal talent ko kami xhaina music artists katti ramra ramra xhan dancer kati ramra xhan sport kati khiladi xhan esports uti ramra xhan tra k garnu sochda ne sarai dukha lagxha
187,Nepali cricket story make please dai,1,nepali cricket story make please dai
188,Bro thanks for information.,1,bro thanks information
189,kadai mero desh,1,kadai mero desh
190,This is shit truth ,0,shit truth
191,"पैसा कमाउने हो, खेल कूद, अभिनय, व्यापार बेबस्या काम गरेर तर पैसा कमाउन को लागि राज्य र जनता को अधिकार आफ्नु गोजी मा भर्ने हरु चै देश द्रोही हो.... राम्रो लाग्यो video",1,video
192,"YOU HOPE FORE A FOOTBALL CORRUPTION INVESTIGATION, WHERE  THE ROYAL FAMILY MASSACRE TOOK PLACE  AND STILL NOT INVESTIGATED PROPERLY. ",1,hope fore football corruption investigation royal family massacre take place still investigate properly
193,Aba CAN ko suspension ra Nepali Cricket Ko Infrastructure ko barema halnu Dajii,0,aba ko suspension ra nepali cricket ko infrastructure ko barema halnu dajii
194,sabai kura eakdum key wise rakheko le...layman football lover haru loe bukhna sajilo vayo ..thakyou the nepali comnt.,0,sabai kura eakdum key wise rakheko lelayman football lover haru loe bukhna sajilo vayo thakyou nepali comnt
195,"Ganesh thapa and Kamal thapa are the darkest, corrupted  person  of nepal. Rip both brother.चोर, खते कुन दिन पापको जन्म भयो नेपालमा",1,ganesh thapa kamal thapa darkest corrupt person nepal rip brother
196,"Why would anyone give loan, that is also other countries ",0,would anyone give loan also country
197,Kina players suffering why not Ganesh thapa ajhai poni players going abroad Nepal will be same for 25 years  please neplase players seach  for ur bight future,0,kina player suffer ganesh thapa ajhai poni player go abroad nepal 25 year please neplase player seach ur bight future
198,tapai le video ko suru ma euta documentary ko kura garnu bhayeko thio.. kun ho sir?,1,tapai le video ko suru euta documentary ko kura garnu bhayeko thio kun ho sir
199,Quality content.. Nepal ma football bikas nahunu ko karan corruption nai ho.. Aile samma saff pani jitna nasuknu ko karan pani yei ho,1,quality content nepal football bikas nahunu ko karan corruption nai ho aile samma saff pani jitna nasuknu ko karan pani yei ho
200,HOW CORRUPTION HAS KILLED NEPAL,0,corruption kill nepal
201,dami video,1,dami video
202,Sir class 10 ko history unit ko incident arm revolution heru ko poni explain garidinu na tpi lea explain gareako mojela bujinxa ,1,sir class 10 ko history unit ko incident arm revolution heru ko poni explain garidinu na tpi lea explain gareako mojela bujinxa
203,take Care bro after this video,0,take care bro video
204,"Ke ho jati bela pani ""tannai tannai"" matra aru sabda synonyms xaina tannai bahek ?? Report matrai banayera kaha hunxa hau jaba ki reported sabda haru ""tanna"" ghari pani ghari ""tannaai"" bahek aru ramro choice nai xaina....maha careless garne manxe haru reporter banna khozxa...!!",1,ke ho jati bela pani tannai tannai matra aru sabda synonym xaina tannai bahek report matrai banayera kaha hunxa hau jaba ki report sabda haru tanna ghari pani ghari tannaai bahek aru ramro choice nai xainamaha careless garne manxe haru reporter banna khozxa
205,"Corruption ta dharan football club ma pani vako ho, Kunai bela drn bata national league khelna tannai jantho players haru  ailay testo xaina ani euta stadium banauna kati lagako ma school padera college sakda pni tyo stadium banako thiyana, buddha subba goldcup game kasto huntho bangladesh, bhutan kolkata bata team auntho khelnalai...",1,corruption ta dharan football club pani vako ho kunai bela drn bata national league khelna tannai jantho player haru ailay testo xaina ani euta stadium banauna kati lagako school padera college sakda pni tyo stadium banako thiyana buddha subba goldcup game kasto huntho bangladesh bhutan kolkata bata team auntho khelnalai
206,Aba KO video Nepali cricket KO barema...,0,aba ko video nepali cricket ko barema
207,Nice,1,nice
208,"Make it on mind नेपालि फुटबल कहिले डेव्लब   हुने छैन""better to put effort on कबड्दि डन्डिबियो",1,make mind well put effort
209,It's so informatica Content.,1,informatica content
210,Definitely he is,1,definitely
211,"Next video suggestions:
Russian Zombie Virus",1,next video suggestion russian zombie virus
212,गीता राणाले बरु नेपाल फुटबलमा धेरै सुधार गर्थ्यो होला l फुटबल एकदम माया गर्ने महिला हुन् l,1,l l
213,Ganesh Thapa 1 No. ko Chor ho ANFA ko president haru bata. Nepali National Team maathi aaune nasakne main reason ehi chor le garda ho. Esko Dhai Kamal Thapa ko kaaran le aaja samma yo Raajnitik Samrakchan ma cha. CIAA ma Ganesh Thapa ko power ra money setting  le garda eslai kei garna sakena. Ganesh Thapa ko Sabai Sampati Chaanbin gare thaha huncha....,1,ganesh thapa 1 ko chor ho anfa ko president haru bata nepali national team maathi aaune nasakne main reason ehi chor le garda ho esko dhai kamal thapa ko kaaran le aaja samma yo raajnitik samrakchan cha ciaa ganesh thapa ko power ra money set le garda eslai kei garna sakena ganesh thapa ko sabai sampati chaanbin gare thaha huncha
214,"Hjr ko video full herisakepaxi Subscribe r like nagari basnai सकिएन, राम्रो research garnu vako xa, video ko starting dekhi nai information diyera lastma introduction dene style राम्रो lagyo, hami viewers lai yo vnda k chaiyo r",1,hjr ko video full herisakepaxi subscribe r like nagari basnai research garnu vako xa video ko start dekhi nai information diyera lastma introduction dene style lagyo hami viewer lai yo vnda k chaiyo r
215,We want Nepal to play world cup 2026,0,want nepal play world cup 2026
216,100k soon bro,1,100k soon bro
217,Ravi kai garxan ki,0,ravi kai garxan ki
218,Nepali Johnny Harris,1,nepali johnny harris
219,I am fig fan your. I like your micro investigation.,1,fig fan like micro investigation
220,"DukhKo kura football ajhai jhan khaskidaix, na league x na kunai yojana",1,dukhko kura football ajhai jhan khaskidaix na league x na kunai yojana
221,dai tapai ko thumbnail kaasla banauxa ani kati charge garxa,1,dai tapai ko thumbnail kaasla banauxa ani kati charge garxa
222,Soon 100K ,1,soon 100k
223,You made a great video,1,make great video
224,Nepotism pani main reason ho.,1,nepotism pani main reason ho
225,"Bro, amazing job as always! Ganesh Thapa le ropani ropani crore ko jagga kineko cha Lalitpur ko Dholahiti bhanney thau ma. Ahiley ta arabai molincha hola",1,bro amaze job always ganesh thapa le ropani ropani crore ko jagga kineko cha lalitpur ko dholahiti bhanney thau ahiley ta arabai molincha hola
226,"Karma Chiring Sherpa ma ni video jawos euta , Anfa president vayesi karma le pani corruption gareko kura match fixing gareko kura sablai thacha",1,karma chiring sherpa ni video jawos euta anfa president vayesi karma le pani corruption gareko kura match fix gareko kura sablai thacha
227,Ganesh Thapa killed dream of thousand players,0,ganesh thapa kill dream thousand player
