,comments,sentiments,clean_comments
83,"पहिलेको नेपालमा विभिन्न फ्याक्ट्रीहरु रहेको पढन पाइयो , त्यो समयमा नेपालको अवस्था र अहिलेको अवस्था हेर्दा आकाश पातालको फरक छ । त्यो Golden Period थियो नेपाल र नेपालीको लागि तर आज ति पुराना बिकासका निम्ति खोलिएको ट्रली बस, गोरखकाली टायर उधोग, जनकपुर चुरोट कारखाना, भृकुटी कागज उधोग आदि इत्यादि लाई राजनीतिका आडमा बन्द गरियो। जसको कारण आज  सबै कुराहरु विदेशबाट आयात गर्नुपर्छ। अझै पनि नेपालका नेताहरु हात पाखुरा बलियो भएका हाम्रो साथी , बुबा र दिदि बहिनिलाई विदेश पठाएर आफु सत्ता र शक्तिको आडमा देशलाई झन झन दलदल तिर लग्दैछन । दुखद ",1,golden period
84,M always waiting your updates the Nepali comment ,1,always wait update nepali comment
85,Great information,1,great information
86,Now it seems like a myth...Sad reality,1,seem like mythsad reality
87,Bangladesh ma ta garment industry 2022 samma ni boom hudai thyo. But how,1,bangladesh ta garment industry 2022 samma ni boom hudai thyo
88,I do see demerits of labor union in Nepal than any merits.,1,see demerit labor union nepal merit
89,How can we bounce back in garment industry? Give solution,1,bounce back garment industry give solution
90,Eagerly waiting..,1,eagerly wait
91,need case study on KMC education network,1,need case study kmc education network
92,Sorry but honestly video alikati complex thiyo and I felt hard to understand some aspects.plz make video as simple as you can..don't describe in short just to minimize video length...but thank u for Ur content,1,sorry honestly video alikati complex thiyo felt hard understand aspectsplz make video simple candont describe short minimize video lengthbut thank u ur content
93,I believe in being responsible rather than blaming other..if there are shit people within our country we can't point finger on other,1,believe responsible rather blame otherif shit people within country cant point finger
94,Feri garment industry le compete garna sakena due to lack of adopting latest technology and other geopolitical reasons.,1,feri garment industry le compete garna sakena due lack adopt late technology geopolitical reason
95,Damii bro keep it up,1,damii bro keep
96,kapada udhyog.. . my mom worked here for like 2-3 years,1,kapada udhyog mom work like 23 year
97,Make video about Bhrikuti Pulp and Paper.,1,make video bhrikuti pulp paper
98,You’re the next dhruv rathee bro. 🫡,1,you re next dhruv rathee bro
99,Mero mummy le pani gareko chandragadi ma garment chok ️️,1,mero mummy le pani gareko chandragadi garment chok
100,Brother yo dhurmus suntali foundation ko ra international stadium ko ma ne banauna paryo yeuta video...,1,brother yo dhurmus suntali foundation ko ra international stadium ko ne banauna paryo yeuta video
101,"cement industry will be the next 
tara dukha lahne kura we were never tought yesari in our school infact nothing about such industry 
we were only said to by heart and score marks wats the use we were  tought to be slaves",1,cement industry next tara dukha lahne kura never tought yesari school infact nothing industry say heart score mark wats use tought slave
102,"I am Diploma holder in Textile chemical processing and technology. 
Tara Nepal ma jagir khana sakena. Handful of industry ra tyesma pani ace chahine.",1,diploma holder textile chemical processing technology tara nepal jagir khana sakena handful industry ra tyesma pani ace chahine
103,"Hello bro Good Afternoon..

Durbar hatyakanda ko barema video banauna paryo..",1,hello bro good afternoon durbar hatyakanda ko barema video banauna paryo
104,R & D chaayo nepal ma !!!,1,r chaayo nepal
105,Make video About Late King Birendra,1,make video late king birendra
106,its simple first ma nepal ma industry chalda indian lagani karta le lagani garera  factory chalayo ani sajilo bhayo saaman india through pathauna tara jaba nepali haru aafaile lagani garera factory chalauna thalyo ani indian lagani karta haru haraudai gayo India lai ghata bhayo so after that sabai kura bigriyo ……,1,simple first nepal industry chalda indian lagani karta le lagani garera factory chalayo ani sajilo bhayo saaman india pathauna tara jaba nepali haru aafaile lagani garera factory chalauna thalyo ani indian lagani karta haru haraudai gayo india lai ghata bhayo sabai kura bigriyo
107,Bro resham Chaudhary maa euta video banauna yo in-depth story le ta sarai khattam kuro garyo.,1,bro resham chaudhary maa euta video banauna yo indepth story le ta sarai khattam kuro garyo
108,Previous Thumbnail was more attractive,1,previous thumbnail attractive
109,Love you brother,1,love brother
110,great learning,1,great learning
111,excited to much,1,excite much
113,Information based channel..,1,information base channel
114,Bro TU ko management mah pani  video banaunu nah,1,bro tu ko management mah pani video banaunu nah
116,Dami video bro️️,1,dami video bro
117,Thanks to Dhanayuddha and Ganatantra,1,thanks dhanayuddha ganatantra
118,"next must be in  Bhrikuti Pulp and Paper   industry please

and you have wrong map of nepal we must include kalapani in every vedio  where map of nepal is shown at = 2:52",1,next must bhrikuti pulp paper industry please wrong map nepal must include kalapani every vedio map nepal show 252
119,Thanks for making.see you again,1,thanks makingsee
120,this channel need hig level security,1,channel need hig level security
121,"2015/16 तिर म इतिहाद मा काम गर्दा नेपाल बाट इंडिया, अबुधाबी हुदै न्यू योर्क र वॉशिंगटन नेपाली गलैचा कार्गो हुन्थ्यो तर पछी यो पनि बन्द भयो; मैले सुनेको थिये नेपाली गलैचा इंडियाले नक्कल गरेर आफैले न्यू योर्क पठाउने काम गर्छ भनेर तर मा गलत हुन पनि सक्छु",1,201516
122,"Third world means countries neutral during Cold War and even includes Ireland, Switzerland, Finland, etc. But in west especially US feelings are more popular than facts.",1,third world mean country neutral cold war even include ireland switzerland finland etc west especially u feeling popular fact
123,Now Bangladesh is the textile capital of world,1,bangladesh textile capital world
124,Ekdin Hotel industry pani collapse hunxa hola,1,ekdin hotel industry pani collapse hunxa hola
125,"Sabai Nepali haru milera, sabai neta haru ko ghati katera football khelyo vane matra aba Nepal change huncha, natra hudaina. Sidha kura, ani sabai neta vane pachi sabbai nai, sano thulo sabai ko ghati katnai parcha ani balla kei huncha.",1,sabai nepali haru milera sabai neta haru ko ghati katera football khelyo vane matra aba nepal change huncha natra hudaina sidha kura ani sabai neta vane pachi sabbai nai sano thulo sabai ko ghati katnai parcha ani balla kei huncha
126,Nepali dhruv rathee️,1,nepali dhruv rathee
127,"Nepal le growth gareko euta pani sector xaina  
 hasni ki runi yo Des ko awastha politicians dekhera dikka nai lagyo",1,nepal le growth gareko euta pani sector xaina hasni ki runi yo de ko awastha politician dekhera dikka nai lagyo
128,Bangladesh le aaile pani 40 billion dollar  ko export garxa garment ko Nepal vaney jaile j ma pani paxadi matra,1,bangladesh le aaile pani 40 billion dollar ko export garxa garment ko nepal vaney jaile j pani paxadi matra
129,First comment,1,first comment
130,nice bro..very informative..good work.,1,nice brovery informativegood work
132,Mero area ma ni tannai thula sana garmet factory thiyo aile namnisana meti sakyo,1,mero area ni tannai thula sana garmet factory thiyo aile namnisana meti sakyo
133,Boom content,1,boom content
134,Resham chaoudhary ko story pani janna paaye hunthyo,1,resham chaoudhary ko story pani janna paaye hunthyo
135,"Premiere herexe, feri upload wala video herne mah matrai haina hola ",1,premiere herexe feri upload wala video herne mah matrai haina hola
137,Pls guys make video on caste cruelty in nepal,1,pls guy make video caste cruelty nepal
138,owo... great ...,1,owo great
139,Nepal ko aaile ko export haru k k cha tesma video banauna paryo,1,nepal ko aaile ko export haru k k cha tesma video banauna paryo
140,bro sponsorship gara yr paisa kamauna xaina kayo,1,bro sponsorship gara yr paisa kamauna xaina kayo
145, wow,1,wow
146,Ohoo k tyo tyo Tibet issues????,1,ohoo k tyo tyo tibet issue
147,Mero buwa le kathmandu ko garment ma kaam garnu vako thyo,1,mero buwa le kathmandu ko garment kaam garnu vako thyo
148,Yaar ma नि नेपाली मा ff Fact video banaune garxu but no support no views plz,1,yaar ff fact video banaune garxu support view plz
149,Muji runa maan lagyo ,1,muji runa maan lagyo
150,Aba ko 10 yrs Nepal ko Agarabtti industry Haru pani death Hunxa,1,aba ko 10 yr nepal ko agarabtti industry haru pani death hunxa
151,Sala nepal ma planning vanne nae koe chaena tesaele ho. Planning garne lae thau ma basna didaenan vitra vitrae sab khaera sakkauna aaatisake,1,sala nepal planning vanne nae koe chaena tesaele ho plan garne lae thau basna didaenan vitra vitrae sab khaera sakkauna aaatisake
153,"Tapailay bhaneko jasto yetiko thulo ta haina tara sano bhayepani aaafanai desh ma khi garchu bhanera sano garment factory mero pani thiyo tara tara tara yaha kaam garna dherai garo cha, ra aja ma mero business stop garera aru country ma kaam garna jadai chu.. 
Kailay hamro desh responsible bancha ?",1,tapailay bhaneko jasto yetiko thulo ta haina tara sano bhayepani aaafanai desh khi garchu bhanera sano garment factory mero pani thiyo tara tara tara yaha kaam garna dherai garo cha ra aja mero business stop garera aru country kaam garna jadai chu kailay hamro desh responsible bancha
154,"What caused the death of the Nepali garment industry

Neoliberalism",1,cause death nepali garment industry neoliberalism
155,नेपाली र बाँदर same chum बाठो भयेर tamatar chepney ,1,chum tamatar chepney
159,"Kina kina sundai kasto naramro lagcha.. 
RAJA le kholeko sab factory banda garyo.. NEPALI TALIBAN  harule..",1,kina kina sundai kasto naramro lagcha raja le kholeko sab factory banda garyo nepali taliban harule
161,"Prachandey ra usko kathit ""jana"" yuddha le garda banda bhayeko ho yo sab",1,prachandey ra usko kathit jana yuddha le garda banda bhayeko ho yo sab
162,Dammi️️️,1,dammi
163,Dirty politics destroyed everything,1,dirty politics destroy everything
164,Disclaimer️ don't watch and follow this channel if you hate the truth/reality ️,1,disclaimer dont watch follow channel hate truthreality
168,Das_Ossam,1,dasossam
169,first bhanera comment garna lagheko. tanai aai sakexan,1,first bhanera comment garna lagheko tanai aai sakexan
170,Bruh yr yesto channel haru herdae.. ris utcha runa man lagcha.. tmy haru problem matrw kna dekhauchau.. yesto education vako manchey chunab ma Uther desh lae badleu na..plz,1,bruh yr yesto channel haru herdae ri utcha runa man lagcha tmy haru problem matrw kna dekhauchau yesto education vako manchey chunab uther desh lae badleu naplz
171,haet....!!!,1,haet
172,HOR,1,hor
173,Ghjn,1,ghjn
174,Bro resham Chaudhary maa euta video banauna yo in-depth story le ta sarai khattam kuro garyo.,1,bro resham chaudhary maa euta video banauna yo indepth story le ta sarai khattam kuro garyo
176,Bro resham Chaudhary maa euta video banauna yo in-depth story le ta sarai khattam kuro garyo.,1,bro resham chaudhary maa euta video banauna yo indepth story le ta sarai khattam kuro garyo
